year,desc,survey,margin,URL
2020,Trump poll margin,"Fox News, Sept.",13,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-7-10-2020_Complete_National_Topline_September-13-Release.pdf
2020,Trump poll margin,"Marist/NPR/PBS, Sept.",27,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202009171415.pdf
2020,Trump poll margin,"Washington Post-ABC, March",36,
2020,Trump poll margin,"Quinnipiac, April",20,
2020,Trump poll margin,"Quinnipiac, May",24,
2020,Trump poll margin,"Fox News, June",16,
2020,Trump poll margin,"Pew, July-Aug.",30,
2016,Trump margin,Catalist estimates,27.925,https://docs.google.com/spreadsheets/d/1Lr1z1UDy9-sCn1rPMmV8H5KTjcFHTjEujoBw1oMPyDo/edit#gid=0
2016,Trump margin,VOTER Survey,22.47,
2016,Trump margin,CCES,24.27,
2016,Trump margin,National Exit Poll,37,
2016,Trump margin,Pew Research (validated voters),36,
2012,Romney margin,Catalist estimates,20.56,
2012,Romney margin,VOTER Survey,15.65,
2012,Romney margin,CCES,16.47,
2008,McCain margin,Catalist estimates,10.2,
2008,McCain margin,VOTER Survey,9.1,
2008,McCain margin,CCES,14.6,